Poster 41 | PhD | Vlad Rinsky | Exploring optical activity with Tomo‑PIV for fiber-flow interaction in wall‑bounded turbulence  | Supervisor: Prof. Rene Van Hout
Poster 42 | PhD | Saar Nitecki | Evaluating Lower Limb Prostheses Based on Interface Loading  | Supervisor: Asst. Prof. Nili Krausz
Poster 43 | PhD | Avishai Dov | Development and Experimental Investigation of Hydrodynamic Performance in WLJB with Laser-Textured Journals  | Supervisor: Prof. Morel Groper
Poster 44 | PhD | Daniel Bar | Design of a new Wave Energy Converter WEC  | Supervisor: Asst. Prof. Nitai Drimer
Poster 45 | PhD | Zohar Oddes | Evaluation of Visual-Inertial Tracking for 3D Ultrasound Based Modeling  | Supervisor: Dana Solav
Poster 46 | MSc | Yotam Katzman | Zero-waste manufacturing of ophthalmic lenses by direct Fluidic Shaping in arbitrary domains  | Supervisor: Prof. Moran Bercovichi
Poster 47 | Post Doc | Dominic Sam Sebastian | Tomographic PIV study of fiber-flow interaction in a turbulent channel flow | Supervisor: Prof. Rene Van Hout
Poster 48 | MSc | Tal Beit-Halevy | Assessment of Upper Limb Compensation during ADLs with Restricted Wrist Degrees of Freedom  | Supervisor: Asst. Prof. Nili Krausz
Poster 49 | MSc | Micheal Cohen | Mechanical Behavior of Liquid Crystal Elastomers (LCE)  | Supervisor: Prof. Doron Shilo, Dr. Eilon Faran
Poster 50 | MSc | Gilad Schussheim | Stabilization of a Suspended Load Using Active Flow Control  | Supervisor: Prof. David Greenblatt
